section,dim_a,dim_b,rows_a,distinct_a,dup_rows_a,shared_distinct_pair_digest_count
file_x_file,025|KO_TO_EN|TRAIN|일상생활및구어체_한영_train_set.json,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(4).xlsx,,,,0
file_x_file,025|KO_TO_EN|TRAIN|일상생활및구어체_한영_train_set.json,LEGACY|UNKNOWN|UNKNOWN|4_문어체_한국문화.xlsx,,,,0
file_x_file,025|KO_TO_EN|TRAIN|일상생활및구어체_한영_train_set.json,LEGACY|UNKNOWN|UNKNOWN|5_문어체_조례.xlsx,,,,0
file_x_file,025|KO_TO_EN|TRAIN|일상생활및구어체_한영_train_set.json,LEGACY|UNKNOWN|UNKNOWN|6_문어체_지자체웹사이트.xlsx,,,,0
file_x_file,025|KO_TO_EN|VALIDATION|일상생활및구어체_한영_valid_set.json,025|KO_TO_EN|VALIDATION|일상생활및구어체_한영_valid_set.json,150000,141607,8393,
file_x_file,025|KO_TO_EN|VALIDATION|일상생활및구어체_한영_valid_set.json,026|KO_TO_EN|TRAIN|기술과학분야_한영_train_set.json,,,,0
file_x_file,025|KO_TO_EN|VALIDATION|일상생활및구어체_한영_valid_set.json,026|KO_TO_EN|VALIDATION|기술과학분야_한영_valid_set.json,,,,0
file_x_file,025|KO_TO_EN|VALIDATION|일상생활및구어체_한영_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|1_구어체(1).xlsx,,,,2
file_x_file,025|KO_TO_EN|VALIDATION|일상생활및구어체_한영_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|1_구어체(2).xlsx,,,,2
file_x_file,025|KO_TO_EN|VALIDATION|일상생활및구어체_한영_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|2_대화체.xlsx,,,,5
file_x_file,025|KO_TO_EN|VALIDATION|일상생활및구어체_한영_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(1)_200226.xlsx,,,,0
file_x_file,025|KO_TO_EN|VALIDATION|일상생활및구어체_한영_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(2).xlsx,,,,0
file_x_file,025|KO_TO_EN|VALIDATION|일상생활및구어체_한영_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(3).xlsx,,,,0
file_x_file,025|KO_TO_EN|VALIDATION|일상생활및구어체_한영_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(4).xlsx,,,,0
file_x_file,025|KO_TO_EN|VALIDATION|일상생활및구어체_한영_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|4_문어체_한국문화.xlsx,,,,0
file_x_file,025|KO_TO_EN|VALIDATION|일상생활및구어체_한영_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|5_문어체_조례.xlsx,,,,0
file_x_file,025|KO_TO_EN|VALIDATION|일상생활및구어체_한영_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|6_문어체_지자체웹사이트.xlsx,,,,0
file_x_file,026|KO_TO_EN|TRAIN|기술과학분야_한영_train_set.json,026|KO_TO_EN|TRAIN|기술과학분야_한영_train_set.json,1200144,1200109,35,
file_x_file,026|KO_TO_EN|TRAIN|기술과학분야_한영_train_set.json,026|KO_TO_EN|VALIDATION|기술과학분야_한영_valid_set.json,,,,9
file_x_file,026|KO_TO_EN|TRAIN|기술과학분야_한영_train_set.json,LEGACY|UNKNOWN|UNKNOWN|1_구어체(1).xlsx,,,,0
file_x_file,026|KO_TO_EN|TRAIN|기술과학분야_한영_train_set.json,LEGACY|UNKNOWN|UNKNOWN|1_구어체(2).xlsx,,,,0
file_x_file,026|KO_TO_EN|TRAIN|기술과학분야_한영_train_set.json,LEGACY|UNKNOWN|UNKNOWN|2_대화체.xlsx,,,,0
file_x_file,026|KO_TO_EN|TRAIN|기술과학분야_한영_train_set.json,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(1)_200226.xlsx,,,,1
file_x_file,026|KO_TO_EN|TRAIN|기술과학분야_한영_train_set.json,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(2).xlsx,,,,0
file_x_file,026|KO_TO_EN|TRAIN|기술과학분야_한영_train_set.json,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(3).xlsx,,,,0
file_x_file,026|KO_TO_EN|TRAIN|기술과학분야_한영_train_set.json,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(4).xlsx,,,,0
file_x_file,026|KO_TO_EN|TRAIN|기술과학분야_한영_train_set.json,LEGACY|UNKNOWN|UNKNOWN|4_문어체_한국문화.xlsx,,,,0
file_x_file,026|KO_TO_EN|TRAIN|기술과학분야_한영_train_set.json,LEGACY|UNKNOWN|UNKNOWN|5_문어체_조례.xlsx,,,,0
file_x_file,026|KO_TO_EN|TRAIN|기술과학분야_한영_train_set.json,LEGACY|UNKNOWN|UNKNOWN|6_문어체_지자체웹사이트.xlsx,,,,0
file_x_file,026|KO_TO_EN|VALIDATION|기술과학분야_한영_valid_set.json,026|KO_TO_EN|VALIDATION|기술과학분야_한영_valid_set.json,150018,150018,0,
file_x_file,026|KO_TO_EN|VALIDATION|기술과학분야_한영_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|1_구어체(1).xlsx,,,,0
file_x_file,026|KO_TO_EN|VALIDATION|기술과학분야_한영_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|1_구어체(2).xlsx,,,,0
file_x_file,026|KO_TO_EN|VALIDATION|기술과학분야_한영_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|2_대화체.xlsx,,,,0
file_x_file,026|KO_TO_EN|VALIDATION|기술과학분야_한영_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(1)_200226.xlsx,,,,0
file_x_file,026|KO_TO_EN|VALIDATION|기술과학분야_한영_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(2).xlsx,,,,0
file_x_file,026|KO_TO_EN|VALIDATION|기술과학분야_한영_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(3).xlsx,,,,0
file_x_file,026|KO_TO_EN|VALIDATION|기술과학분야_한영_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(4).xlsx,,,,0
file_x_file,026|KO_TO_EN|VALIDATION|기술과학분야_한영_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|4_문어체_한국문화.xlsx,,,,0
file_x_file,026|KO_TO_EN|VALIDATION|기술과학분야_한영_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|5_문어체_조례.xlsx,,,,0
file_x_file,026|KO_TO_EN|VALIDATION|기술과학분야_한영_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|6_문어체_지자체웹사이트.xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|1_구어체(1).xlsx,LEGACY|UNKNOWN|UNKNOWN|1_구어체(1).xlsx,200000,200000,0,
file_x_file,LEGACY|UNKNOWN|UNKNOWN|1_구어체(1).xlsx,LEGACY|UNKNOWN|UNKNOWN|1_구어체(2).xlsx,,,,6
file_x_file,LEGACY|UNKNOWN|UNKNOWN|1_구어체(1).xlsx,LEGACY|UNKNOWN|UNKNOWN|2_대화체.xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|1_구어체(1).xlsx,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(1)_200226.xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|1_구어체(1).xlsx,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(2).xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|1_구어체(1).xlsx,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(3).xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|1_구어체(1).xlsx,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(4).xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|1_구어체(1).xlsx,LEGACY|UNKNOWN|UNKNOWN|4_문어체_한국문화.xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|1_구어체(1).xlsx,LEGACY|UNKNOWN|UNKNOWN|5_문어체_조례.xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|1_구어체(1).xlsx,LEGACY|UNKNOWN|UNKNOWN|6_문어체_지자체웹사이트.xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|1_구어체(2).xlsx,LEGACY|UNKNOWN|UNKNOWN|1_구어체(2).xlsx,200000,200000,0,
file_x_file,LEGACY|UNKNOWN|UNKNOWN|1_구어체(2).xlsx,LEGACY|UNKNOWN|UNKNOWN|2_대화체.xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|1_구어체(2).xlsx,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(1)_200226.xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|1_구어체(2).xlsx,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(2).xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|1_구어체(2).xlsx,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(3).xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|1_구어체(2).xlsx,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(4).xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|1_구어체(2).xlsx,LEGACY|UNKNOWN|UNKNOWN|4_문어체_한국문화.xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|1_구어체(2).xlsx,LEGACY|UNKNOWN|UNKNOWN|5_문어체_조례.xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|1_구어체(2).xlsx,LEGACY|UNKNOWN|UNKNOWN|6_문어체_지자체웹사이트.xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|2_대화체.xlsx,LEGACY|UNKNOWN|UNKNOWN|2_대화체.xlsx,100000,99998,2,
file_x_file,LEGACY|UNKNOWN|UNKNOWN|2_대화체.xlsx,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(1)_200226.xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|2_대화체.xlsx,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(2).xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|2_대화체.xlsx,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(3).xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|2_대화체.xlsx,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(4).xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|2_대화체.xlsx,LEGACY|UNKNOWN|UNKNOWN|4_문어체_한국문화.xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|2_대화체.xlsx,LEGACY|UNKNOWN|UNKNOWN|5_문어체_조례.xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|2_대화체.xlsx,LEGACY|UNKNOWN|UNKNOWN|6_문어체_지자체웹사이트.xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(1)_200226.xlsx,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(1)_200226.xlsx,200011,200011,0,
file_x_file,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(1)_200226.xlsx,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(2).xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(1)_200226.xlsx,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(3).xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(1)_200226.xlsx,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(4).xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(1)_200226.xlsx,LEGACY|UNKNOWN|UNKNOWN|4_문어체_한국문화.xlsx,,,,3
file_x_file,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(1)_200226.xlsx,LEGACY|UNKNOWN|UNKNOWN|5_문어체_조례.xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(1)_200226.xlsx,LEGACY|UNKNOWN|UNKNOWN|6_문어체_지자체웹사이트.xlsx,,,,2
file_x_file,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(2).xlsx,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(2).xlsx,200541,200541,0,
file_x_file,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(2).xlsx,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(3).xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(2).xlsx,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(4).xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(2).xlsx,LEGACY|UNKNOWN|UNKNOWN|4_문어체_한국문화.xlsx,,,,2469
file_x_file,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(2).xlsx,LEGACY|UNKNOWN|UNKNOWN|5_문어체_조례.xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(2).xlsx,LEGACY|UNKNOWN|UNKNOWN|6_문어체_지자체웹사이트.xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(3).xlsx,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(3).xlsx,200835,200835,0,
file_x_file,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(3).xlsx,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(4).xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(3).xlsx,LEGACY|UNKNOWN|UNKNOWN|4_문어체_한국문화.xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(3).xlsx,LEGACY|UNKNOWN|UNKNOWN|5_문어체_조례.xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(3).xlsx,LEGACY|UNKNOWN|UNKNOWN|6_문어체_지자체웹사이트.xlsx,,,,7
file_x_file,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(4).xlsx,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(4).xlsx,200000,200000,0,
file_x_file,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(4).xlsx,LEGACY|UNKNOWN|UNKNOWN|4_문어체_한국문화.xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(4).xlsx,LEGACY|UNKNOWN|UNKNOWN|5_문어체_조례.xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(4).xlsx,LEGACY|UNKNOWN|UNKNOWN|6_문어체_지자체웹사이트.xlsx,,,,5
file_x_file,LEGACY|UNKNOWN|UNKNOWN|4_문어체_한국문화.xlsx,LEGACY|UNKNOWN|UNKNOWN|4_문어체_한국문화.xlsx,100646,100646,0,
file_x_file,LEGACY|UNKNOWN|UNKNOWN|4_문어체_한국문화.xlsx,LEGACY|UNKNOWN|UNKNOWN|5_문어체_조례.xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|4_문어체_한국문화.xlsx,LEGACY|UNKNOWN|UNKNOWN|6_문어체_지자체웹사이트.xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|5_문어체_조례.xlsx,LEGACY|UNKNOWN|UNKNOWN|5_문어체_조례.xlsx,100298,100298,0,
file_x_file,LEGACY|UNKNOWN|UNKNOWN|5_문어체_조례.xlsx,LEGACY|UNKNOWN|UNKNOWN|6_문어체_지자체웹사이트.xlsx,,,,0
file_x_file,LEGACY|UNKNOWN|UNKNOWN|6_문어체_지자체웹사이트.xlsx,LEGACY|UNKNOWN|UNKNOWN|6_문어체_지자체웹사이트.xlsx,100087,100087,0,
cross_corpus,025,026,,,,0
cross_corpus,025,LEGACY,,,,35
cross_corpus,026,LEGACY,,,,1
