group,language,metric,row_count,records,rate,classification
지자체웹,EN,html_like,38,100087,0.0003796696873719864,SOFT_OBSERVATION_ONLY
지자체웹,EN,nfkc_change,131,100087,0.001308861290677111,SOFT_OBSERVATION_ONLY
지자체웹,EN,phone_like,110,100087,0.0010990438318662762,SOFT_OBSERVATION_ONLY
지자체웹,EN,url_like,16,100087,0.00015986092099873111,SOFT_OBSERVATION_ONLY
지자체웹,EN,zero_width,2,100087,1.998261512484139e-05,SOFT_OBSERVATION_ONLY
지자체웹,KO,email_like,1,100087,9.991307562420695e-06,SOFT_OBSERVATION_ONLY
지자체웹,KO,html_like,6,100087,5.994784537452416e-05,SOFT_OBSERVATION_ONLY
지자체웹,KO,nfkc_change,1170,100087,0.011689829848032213,SOFT_OBSERVATION_ONLY
지자체웹,KO,phone_like,72,100087,0.00071937414449429,SOFT_OBSERVATION_ONLY
지자체웹,KO,url_like,16,100087,0.00015986092099873111,SOFT_OBSERVATION_ONLY
한국문화,EN,html_like,114,100646,0.001132682868668402,SOFT_OBSERVATION_ONLY
한국문화,EN,leading_or_trailing_whitespace,5,100646,4.967907318721062e-05,SOFT_OBSERVATION_ONLY
한국문화,EN,nfkc_change,513,100646,0.005097072909007809,SOFT_OBSERVATION_ONLY
한국문화,EN,phone_like,721,100646,0.0071637223535957716,SOFT_OBSERVATION_ONLY
한국문화,EN,url_like,9,100646,8.942233173697911e-05,SOFT_OBSERVATION_ONLY
한국문화,EN,zero_width,2,100646,1.987162927488425e-05,SOFT_OBSERVATION_ONLY
한국문화,KO,expected_script_absent,1,100646,9.935814637442124e-06,SOFT_OBSERVATION_ONLY
한국문화,KO,html_like,122,100646,0.0012121693857679392,SOFT_OBSERVATION_ONLY
한국문화,KO,nfkc_change,954,100646,0.009478767164119786,SOFT_OBSERVATION_ONLY
한국문화,KO,phone_like,271,100646,0.0026926057667468156,SOFT_OBSERVATION_ONLY
한국문화,KO,url_like,10,100646,9.935814637442124e-05,SOFT_OBSERVATION_ONLY
한국문화,KO,zero_width,3,100646,2.9807443912326373e-05,SOFT_OBSERVATION_ONLY
