group,dimension,category,record_count
대화체,상황,오랜만에 엄마와 전화하는 상황,4
대화체,상황,헤어진 친구 근황 묻는 상황,4
대화체,상황,오랜만에 만난 연인의 인사,4
대화체,상황,어버이날 안부 전화,4
대화체,상황,인사하는 방법을 묻는 상황,4
대화체,상황,아침 인사를 하는 상황,4
대화체,상황,계약을 위해 처음 보는 자리,4
대화체,상황,우연히 만났을 때,20
대화체,상황,애인의 부모님을 처음 뵈러 갈 때,4
대화체,상황,좋아하는 가수 사인회에 처음 갈 때,4
대화체,상황,싸운 친구랑 오랜만에 만날 때,4
대화체,상황,외할머니댁에 오랜만에 방문할 때,4
대화체,상황,막 병원에서 퇴원한 친구를 만날 때,4
대화체,상황,친구의 친구와 마주쳤을 때,4
대화체,상황,좋아하는 작가를 우연히 만났을 때,4
대화체,상황,가게 직원이 친구일 때,4
대화체,소분류,여행,5225
대화체,상황,어디로 갈지 정하는 상황,4
대화체,상황,여행 가기 전날 상황,4
대화체,상황,여행이 갑자기 취소된 상황,4
대화체,상황,여행사를 고르는 상황,4
대화체,상황,여행 와서 갑자기 아플 때,4
대화체,상황,여행 와서 싸울 때,4
대화체,상황,여행 와서 길 물을 때,4
대화체,상황,여행 와서 친구를 만났을 때,4
대화체,상황,길 잃은 상황,336
대화체,상황,물건을 놔두고 온 상황,4
대화체,상황,물건을 잃어버린 상황,4
대화체,상황,여행 가서 숙소를 예약하는 상황,4
대화체,상황,일정을 묻는 상황,4
대화체,상황,갔던 곳을 다시 온 상황,4
대화체,상황,일정을 변경하는 상황,4
대화체,상황,여행지에 처음 온 상황,4
대화체,상황,여행지에서 이상형을 만난 상황,4
대화체,상황,여행지가 마음에 안 들 때,4
대화체,상황,애인과 처음 여행 왔을 때,4
대화체,상황,엄마랑 처음 둘이서 여행 왔을 때,4
대화체,상황,부모님 여행 보내드릴 때,4
대화체,상황,즉흥 여행 갈 때,4
대화체,상황,사진 촬영 하고 싶을 때,4
대화체,상황,관광객은 우리밖에 없을 때,4
대화체,상황,택스리펀을 받을 때,4
대화체,소분류,숙소,4283
대화체,상황,예약을 취소할 때,4
대화체,상황,예약을 변경할 때,4
대화체,상황,예약을 다시 확인할 때,4
대화체,상황,객실 타입 다시 요청할 때,4
대화체,상황,이용시간 문의,104
대화체,상황,결제수단 변경 문의,4
대화체,상황,가는 방법 질문할 때,4
대화체,상황,기타 서비스 요청,612
대화체,상황,객실 내 문제 해결 요청,560
대화체,상황,시설 문의,16
대화체,상황,평가,4
대화체,상황,가격 변동 문제 제기,4
대화체,상황,결제 문의,4
대화체,상황,숙소 결정에 대해 얘기할 때,4
대화체,상황,방 있는지 문의할 때,460
대화체,상황,물건을 두고 옴,4
대화체,상황,서비스 문제 제기,4
대화체,상황,숙소 결정,1
대화체,상황,결정,3
대화체,상황,숙소 취향,4
대화체,상황,기타 서비스 이용,4
대화체,상황,기타 문의,4
대화체,소분류,컨퍼런스,1524
대화체,상황,회사 및 회사 상품/자료 소개,540
대화체,상황,출장을 가기 위해 업무적으로 준비하는 상황,140
대화체,상황,출장 중 일어나는 상황,140
대화체,상황,회의 관련,1020
대화체,상황,출장을 위해 업무적으로 준비해야 하는 상황,100
대화체,상황,발표 및 질의 응답,596
대화체,상황,발표 및 질의응답,32
대화체,상황,양해 및 의견구하기,4
대화체,상황,의견 교환 하기,100
대화체,소분류,비즈니스,1
대화체,상황,출장 관련,200
대화체,상황,"회사, 상품, 자료 소개",200
대화체,대분류,의학,400
대화체,소분류,병원,3212
대화체,상황,증상을 묻고 답하는 상황,748
대화체,상황,접수/수납하는상황,40
대화체,상황,입원/퇴원할 때,588
대화체,상황,입원 시/중 안내 및 요구하는 상황,632
대화체,상황,물리치료를 받는 상황,472
대화체,소분류,약국,1204
대화체,상황,복용법에 대해 얘기하는 상황,664
대화체,상황,간단한 구급처치를 위한 방법 질문 및 약품 구매하는 상황,600
대화체,대분류,스포츠,1000
대화체,소분류,경기관람,560
대화체,상황,경기 보는 장소에 대한 선호 (집/직관/광장/가게),100
대화체,상황,관람 규칙/ 경기 룰에 대해 이야기하는 상황,100
대화체,소분류,스포츠,440
대화체,상황,월드컵/올림픽,100
대화체,상황,좋아하는 팀에 대해 대화하는 상황,220
대화체,소분류,전화,1288
대화체,상황,축하 및 감사 전화,436
대화체,상황,근황 묻고 답하기,120
대화체,상황,"학교생활 (시험, 졸업, 입학 등)",976
대화체,상황,일상대화,224
대화체,상황,관람 좌석 위치에 대한 대화,40
대화체,상황,관람 좌석 위치를 묻는 상황,80
대화체,상황,스낵 코너에서 음식을 구매하는 상황,40
대화체,상황,경기장 음식에 관한 이야기,80
대화체,상황,대중 교통에 대해 묻는 상황,88
대화체,상황,화장실 위치에 대해 묻는 상황,32
대화체,상황,좋아하는 운동에 대해 얘기하는 상황,120
대화체,대분류,여행/쇼핑,46524
대화체,상황,관람/콘서트 일정에 대해 묻는 상황,472
대화체,상황,여행 일정 변경하는 상황,540
대화체,상황,체크인/체크아웃 할 때,80
대화체,상황,이용시간 문의할 때,392
대화체,상황,셔틀 버스 문의 상황,412
대화체,상황,"대중교통 (버스, 지하철) 도착지 묻는 상황",120
대화체,상황,"여행자 안내소에서 안내가 필요한 상황 (길 묻기, 대중교통 시간표 등)",284
대화체,상황,시설 위치 문의할 때,412
대화체,상황,투어/관람 예약하는 상황,496
대화체,상황,분실/도난 당한 상황,515
대화체,상황,원하는 객실 타입 요청할 때,508
대화체,상황,체크인/체크아웃할 때,372
대화체,상황,궁금한 사항을 문의할 때,36
대화체,상황,불만 사항을 얘기할 때,44
대화체,상황,짐을 맡기고 찾을 때,16
대화체,소분류,공항,5092
대화체,상황,면세점을 이용하는 상황,64
대화체,상황,비행기 안 상황,124
대화체,상황,공항에서 체크인할 때,24
대화체,상황,보안대 통과하는 상황,16
대화체,상황,목적지까지 위치 안내가 필요한 상황,504
대화체,상황,입국심사 할 때,40
대화체,상황,탑승 할 때,8
대화체,상황,공항 내 서비스 문의하기,40
대화체,상황,수화물 찾을 때,20
대화체,상황,환전 및 여행자 수표가 필요한 상황,556
대화체,상황,"입국/출국 상황( 입국심사, 수하물, 보안검색 )",100
대화체,상황,면세점 이용하는 상황,652
대화체,상황,비행기 안,696
대화체,소분류,교통,6844
대화체,상황,"택시 이용(요금문제, 목적지 등)",100
대화체,상황,버스 이용,464
대화체,상황,지하철 이용,468
대화체,상황,음식 먹고 맛 평가하는 상황,700
대화체,상황,식당 예약/ 예약 취소,100
대화체,소분류,쇼핑,10500
대화체,상황,제품에 문제가 있는 상황,616
대화체,상황,교환/환불 요청하는 상황,352
대화체,상황,제품이 있는 지 문의할 때,100
대화체,상황,착용/사용 요청할 때,316
대화체,상황,할인 상품의 위치 및 가격에 대해 묻고 답하는 상황,252
대화체,소분류,금융,360
대화체,상황,공항/은행에서 환전하는 상황,240
대화체,상황,사진 촬영하고 싶을 때 다른 관광객에게 부탁,376
대화체,상황,체크인 / 체크아웃할 때,112
대화체,상황,셔틀버스/택시 등 교통편 관련 문의,100
대화체,상황,"입국/출국 상황(입국심사,수하물,보안검색)",100
대화체,소분류,가정,1332
대화체,상황,생일 축하,252
대화체,상황,구성원의 숙제/부탁을 도와주는 상황,232
대화체,상황,다 같이 모여 식사하는 상황,252
대화체,상황,신혼부부/룸메이트 집안일 분담을 하는 상황,216
대화체,상황,"택시 이용 (요금문제, 목적지 등)",120
대화체,상황,교통사고가 났을 때,268
대화체,상황,자동차 렌탈/반납하는 상황,272
대화체,상황,도착지까지 최적의 교통 수단을 골라야하는 상황,140
대화체,소분류,연예,1484
대화체,상황,연예인 가십(데이팅/영화/드라마),120
대화체,상황,케이팝/ 한류에 관해 이야기 하는 상황,100
대화체,상황,"TV show에 관한 얘기(예능, 드라마)",40
대화체,소분류,미용실/스파/뷰티,180
대화체,상황,원하는 스타일에 대해 점원과 대화,40
대화체,상황,원하는 스타일에 대해 친구와 대화,40
대화체,상황,시술 전/시술 시/ 시술 후 대화,20
대화체,상황,"가격 및 기타 문의사항(소요시간, 영업시간 등) 묻고 답하기",472
대화체,상황,"대중교통 (버스,지하철) 도착지 묻는 상황",260
대화체,상황,공연관람하는 상황,152
대화체,소분류,운동,1560
대화체,상황,운동 레슨을 받는 상황,622
대화체,상황,다이어트에는 무슨 운동이 좋은 지 대화하는 상황,44
대화체,상황,"운동 목표를 설정하는 상황(당일 목표, 장기목표)",76
대화체,상황,접수/수납하는 상황,536
대화체,상황,다이어트에는 무슨 운동이 좋은지 대화하는 상황,352
대화체,상황,"운동 목표를 설정하는 상황 (당일 목표, 장기 목표 등)",322
대화체,상황,연예인 가십 (데이팅/영화/드라마),348
대화체,상황,케이팝 / 한류에 관해 이야기 하는 상황,100
대화체,상황,"TV show에 관한 얘기 (예능, 드라마 등)",196
대화체,소분류,미용실/스파/뷰티샵,2428
대화체,상황,원하는 스타일에 대해 점원 or 친구와 대화 or 시술 전/시술 시/시술 후 대화,88
대화체,상황,시술 후 불만사항 (직원에게 or 친구에게),60
대화체,상황,"대중교통 (버스,지하철) 도착지 관련 상황",80
대화체,상황,여행자 안내소,80
대화체,상황,시설 위치 문의,80
대화체,상황,투어/관람 예약,81
대화체,상황,"입국/출국 상황 (입국심사, 수하물, 보안검색)",312
대화체,상황,"여행자 안내소에서 안내가 필요한 상황(길묻기, 대중교통 시간표 등)",60
대화체,상황,여행 상품을 구매하는 상황,40
대화체,상황,식당에서 주문하는 상황,40
대화체,상황,성적에 대해 교수/친구들에게 얘기하는 상황,288
대화체,상황,"도서관 이용하는 상황 (책 빌리기, 과제, 공부 등)",268
대화체,상황,등/하교 하는 상황,292
대화체,상황,헬스장에서의 대화,132
대화체,상황,야외 운동 관련 대화,12
대화체,상황,케이팝/한류에 관해 이야기하는 상황,196
대화체,상황,"TV show에 관한 얘기(예능, 드라마 등)",256
대화체,상황,원하는 스타일에 대해 점원 or 친구와 대화 시술 전/시술 시/시술 후 대화,948
대화체,상황,제품이 있는지 문의할 때,400
대화체,상황,"도서관 이용하는 상황(책빌리기, 과제, 공부 등)",40
대화체,상황,근황을 물을 때,80
대화체,상황,처음 만났을 때,64
대화체,상황,오랜만에 만났을 때,80
대화체,소분류,데이트,285
대화체,상황,데이트 신청/약속,80
대화체,상황,기념일 축하하는 상황,80
대화체,상황,고백하기/호감표현,77
대화체,상황,첫 소개팅 자리,83
대화체,상황,"대중교통(버스,지하철)도착지 묻는 상황",92
대화체,상황,여행자 안내소에서 안내가 필요한 상황,52
대화체,상황,시설 위치 문의할때,124
대화체,상황,가격 문의/흥정할 때,300
대화체,상황,계산 / 포장할 때,100
대화체,상황,교환 / 환불 요청하는 상황,100
대화체,상황,착용 / 사용 요청할 때,100
대화체,상황,"여행자 안내소에서 안내가 필요한 상황 (길 묻기, 대중교통 시간표 등 )",104
대화체,상황,"입국/출국 상황 (입국심사,수하물,보안검색)",164
대화체,상황,입국/출국 상황 (세관 신고),56
대화체,상황,해외 로밍/휴대용 와이파이 문의하는 상황,48
대화체,상황,계산/포장할 때,200
대화체,상황,쇼핑센터 내 위치 문의,128
대화체,상황,친구/가족과 옷을 고르는 상황,96
대화체,상황,점원에게 제품을 추천받는 상황,100
대화체,상황,쇼핑센터 내 푸드코트,52
대화체,상황,도착지까지 최적의 교통 수단을 골라야 하는 상황,40
대화체,상황,계산/포장할때,80
대화체,상황,필요한 물품을 찾는 상황,40
대화체,소분류,영업,1960
대화체,상황,견적 요청/사업 및 제품 문의/제품 소개,564
대화체,상황,판매/구매 문의 및 답변,40
대화체,소분류,전화업무,908
대화체,상황,용건말하기/부재중 메시지 남기기,156
대화체,상황,약속 잡기/약속 변경하기,80
대화체,상황,전화 걸고 받기/연결하기,256
대화체,상황,공연 관람하는 상황,48
대화체,상황,숙소에서 문의하는 상황,40
대화체,상황,기념품을 구매하는 상황,40
대화체,상황,여행 중 응급상황이 닥쳤을 때,40
대화체,상황,환전을 하는 상황,40
대화체,상황,여행을 끝마치는 상황,32
대화체,상황,출장 결과 보고,372
대화체,상황,실적 보고,348
대화체,상황,가격 문의/ 흥정할 때,99
대화체,상황,계산/ 포장할 때,101
대화체,상황,"대중교통(버스, 지하철) 도착지 묻는 상황",40
대화체,상황,여행일정을 변경하는 상황,40
대화체,상황,사진촬영하고 싶을 때 다른 관광객에게 부탁,40
대화체,상황,기념품상점에서 기념품 구매하는 상황,40
대화체,상황,비행중이 기내안의 상황,40
대화체,상황,객실 이용법을 질문하는 상황,40
대화체,상황,숙소식당에서 조식을 먹는 상황,40
대화체,상황,공항/기차에서 티켓 발권을 하는 상황,40
대화체,상황,출장 경비를 처리해야 하는 상황,68
대화체,상황,회의 장소 정하기,48
대화체,상황,견적 요청,64
대화체,상황,사업 및 제품 문의,196
대화체,상황,제품 소개,184
대화체,상황,판매/구입 문의 및 답변,468
대화체,상황,제품 배송/배송사고,112
대화체,상황,식당 예약/예약 취소,252
대화체,상황,식사/디저트 주문,300
대화체,상황,계산,408
대화체,상황,"장소별 (패스트푸드, 커피숍, 주점 등)",652
대화체,상황,못먹는 음식/재료가 있을 때,436
대화체,상황,식당 안에서 인기/추천 메뉴 묻고 답하는 상황,300
대화체,상황,원하는 스타일에 대해 점원 or 친구와 대화; 시술 전/시술 시/시술 후 대화,108
대화체,상황,"가격 및 기타 문의사항(소요시간,영업시간 등) 묻고 답하기",412
대화체,상황,"TV show 에 관한 얘기 (예능, 드라마 등)",88
대화체,소분류,온라인 쇼핑,3960
대화체,상황,여행 상품을 문의하는 상황,40
대화체,상황,제품에 세부사항에 대해 문의하는 상황(크기/개수 등),640
대화체,상황,제품/배송에 특별한 요청을 하는 상황,628
대화체,상황,주문한 상품의 배송 상태 문의/응답,668
대화체,상황,주문 내역에 대해 수정이 필요한 상황,636
대화체,상황,제품에 문제가 있어 교환/ 환불 필요한 상황,432
대화체,상황,쇼핑몰에서 문의하는 상황,40
대화체,상황,여행 예산에 대해 이야기하는 상황,80
대화체,상황,"여행자 안내소에서 안내가 필요한 상황 ( 길 묻기, 대중교통 시간표 등)",40
대화체,상황,자동차 렌탈/ 반납하는 상황,40
대화체,상황,공항/ 은행에서 환전하는 상황,40
대화체,상황,장소별 (패스트푸드),40
대화체,상황,장소별 (커피숍),40
대화체,상황,장소별 (주점),40
대화체,상황,원하는 스타일에 대해 점원 or 친구와 대화,40
대화체,상황,시술 전/시술 시/시술 후 대화,120
대화체,상황,가격 및 기타 문의사항 묻고 답하기,40
대화체,상황,케이팝/한류에 관해 이야기 하는 상황,40
대화체,상황,남은 음식을 포장하는 상황,20
대화체,상황,음식 속에서 이물질이 나온 상황,20
대화체,상황,식사를 하려는데 안에 자리가 없는 상황,44
대화체,상황,음식 배달을 시켰는데 잘못 배달온 상황,20
대화체,상황,음식을 주문했는데 잘못 나온 상황,36
대화체,상황,주문한 메뉴를 변경하려는 상황,20
대화체,상황,재료가 떨어져 메뉴를 변경해야 하는 상황,28
대화체,상황,식사하러 가자고 권유하는 상황,4
대화체,상황,셔틀 버스 문의 사항,40
대화체,상황,"입국/출국 상황(입국심사, 수하물, 보안검색)",40
대화체,상황,공항에서 이용가능한 시설 안내,40
대화체,상황,비행기 예약/취소/변경하는 상황,40
대화체,상황,기내 안에서 불편한 사항을 말하는 상황,40
대화체,상황,이용시간 문의 상황,60
대화체,상황,공항에서 문의사항이 있는사항,48
대화체,상황,식당 예약 / 예약 취소,160
대화체,상황,식사 / 디저트 주문,260
대화체,소분류,취미/관심사,300
대화체,상황,서로의 취미에 대해 묻고 답하는 상황,300
대화체,상황,안부 및 초대 전화,228
대화체,상황,개강전/개강후 친구와 대화,148
대화체,상황,걱정/고민 상담,252
대화체,상황,식당에서 컴플레인 하는 상황,40
대화체,상황,건강 상담을 하는 상황,60
대화체,상황,"가격 및 기타 문의사항(소요시간, 영업시간)",64
대화체,상황,원하는 스타일에 대해 점원 or 친구와 대화 시술 전/시술 시 / 시술 후 대화,40
대화체,상황,"가격 및 기타 문의사항 (소요시간, 영업시간 등) 묻고 답하기",40
대화체,상황,온라인/오프라인에서 쿠폰/적립금 관련 문의하고 답하기,40
대화체,상황,미용실/스파/뷰티샵에서 서비스시설 이용할 때,40
대화체,상황,입원/퇴원 할 때,40
대화체,상황,간호사실 / 주사실에서 처치 및 주사 맞는 상황,40
대화체,상황,검사실/검진실에 있는 상황,40
대화체,상황,병실 내에서 다른환자들과의 대화,40
대화체,상황,담당의사가 병실 회진을 할 때 환자와의 상담 내용,40
대화체,상황,스파/뷰티샵 직원과의 대화,24
대화체,소분류,병원/약국,200
대화체,소분류,엔터테인먼트,2236
대화체,상황,"좌석 찾기, 관람예절, 출연자 및 작품에 대해 토론",504
대화체,상황,"미술관, 박물관에서 대화",620
대화체,상황,"극장, 공연장에서 관람 전, 관람 후 대화",608
대화체,상황,"현재 위치, 장소찾기",408
대화체,상황,"소요시간, 가는 방법에 대해 대화",448
대화체,상황,"택시 (찾기, 승차, 도착 후, 요금 지불)",500
대화체,상황,"버스 (정류장 찾기, 노선 정보, 매표소, 소요시간, 하차 등)",460
대화체,상황,"지하철 (역 찾기, 매표소, 노선 정보, 하차, 출구 찾기, 환승)",332
대화체,상황,"기차/배 (매표소, 기차 정보, 기차/배 안에서, 하차)",328
대화체,상황,"렌터카 (차량 선택, 보험, 기타 요구, 반납)",204
대화체,상황,"운전 (동승, 운전수준, 운전 중, 주차)",240
대화체,상황,"현재 위치, 장소 찾기",128
대화체,상황,버스 안에서 친구와 대화,40
대화체,상황,교통사고가 난 상황,8
대화체,상황,교통사고가 난 상황 (대화 및 전화),40
대화체,상황,교통법규를 위반한 상황,40
대화체,상황,처음으로 운전하는 상황,48
대화체,상황,목적지에 대해 설명하는 상황,92
대화체,상황,"야구장에서 관람 전, 관람 후 대화",12
대화체,상황,좌석 찾기,40
대화체,상황,관람예절,40
대화체,상황,출연자 및 작품에 대해 토론,40
대화체,상황,극장에서 관람 전 대화,40
대화체,상황,현재 위치,40
대화체,상황,장소찾기,40
대화체,상황,가는 방법에 대해 대화,40
대화체,상황,소요시간에 대해 대화,40
대화체,상황,택시 승차,40
대화체,상황,버스 정류장 찾기,40
대화체,상황,버스 매표소,40
대화체,상황,지하철 역찾기,40
대화체,상황,지하철 하차,40
대화체,상황,지하철 환승,40
대화체,상황,전시 예정인 작품 및 전시 장소에 대해 대화,4
대화체,상황,전시 작품 및 전시 장소에 대해 대화,4
대화체,상황,공연장에서 음료 반입 여부에 대해 물어보는 상황,4
대화체,상황,새 공연장의 음향 시설에 대해 대화,4
대화체,상황,갤러리에서 작품 구입을 위해 문의하는 상황,4
대화체,상황,졸업 작품 전시를 위해 갤러리에 대관 여부를 묻는 상황,4
대화체,상황,친구와 세계 5대 박물관에 대해 대화,4
대화체,상황,교내 순환 버스 관련 정류장 위치 및 요금에 대해 대화,4
대화체,상황,친구와 교내 순환 버스에 대해 대화,4
대화체,상황,택시 타러 가는 길에 친구와 얘기하는 상황,4
대화체,상황,택시에서 기사/손님이 짐을 차에 싣는 상황,4
대화체,상황,공항에서 직원/손님이 렌터카 업체에 대해 얘기하는 상황,4
대화체,상황,잘못된 기차표에 대해 문제 제기,4
대화체,상황,애플리케이션의 전산 오류로 인해 기차표 예매가 불가한 상황,4
대화체,상황,퇴근 시간 지하철 안에서 얘기하는 상황,8
대화체,상황,친구가 배 안에서 멀미 때문에 힘들어하는 상황,4
대화체,상황,친구에게 집 근처 대중교통 수단에 대해 묻는 상황,4
대화체,상황,학교 가는 버스 안에서 친구를 마주친 상황,4
대화체,상황,출근길에 발생한 접촉사고에 대해 상사에게 얘기하는 상황,4
대화체,상황,교통체증 때문에 친구와의 약속에 늦은 상황,4
대화체,상황,지하철에 휴대폰을 놓고 내린 상황,4
대화체,상황,지하철 분실물 센터에서 잃어버린 핸드폰에 대해 묻는 상황,4
대화체,상황,어린이 보호구역의 제한 속도에 대해 얘기하는 상황,4
대화체,상황,무단횡단으로 경찰한테 걸린 상황,4
대화체,상황,도로 주행 시험일 및 주의사항에 대해 대화,4
대화체,상황,운전면허증 갱신일 및 장소에 대해 얘기하는 상황,4
대화체,상황,운전면허증 갱신 관련 준비물 및 비용에 대해 질문하는 상황,4
대화체,상황,뮤지컬이 끝나고 사인회가 열린 상황,4
대화체,상황,길거리 뮤지션들이 많은 거리를 걷는 상황,4
대화체,상황,위대한 음악가의 생가에 방문한 상황,4
대화체,상황,여행을 가서 유명한 놀이공원에 간 상황,4
대화체,상황,놀이공원에서 놀이기구를 타려고 하는 상황,4
대화체,상황,길거리에서 코미디언을 발견한 상황,4
대화체,상황,연극을 공연하는 소극장이 밀집된 거리에서의 대화,4
대화체,상황,연극을 보고 나오면서의 대화,4
대화체,상황,생소한 교통수단을 이용하는 상황,4
대화체,상황,교통 운임에 대한 항의,4
대화체,상황,좌석을 착각한 상황,4
대화체,상황,좌석 찾는 방법을 직원에게 묻는 상황,8
대화체,상황,영화 관람 중 옆사람이 휴대폰을 밝게 켠 상황,4
대화체,상황,엄마가 딸에게 영화관 주의사항을 알려주는 상황,4
대화체,상황,무대관람 중 한 명이 무대에 난입한 상황,4
대화체,상황,영화작품에 대해 토론,4
대화체,상황,영화에 나온 출연자에 대해 토론,4
대화체,상황,책내용에 대해 토론,4
대화체,상황,드라마내용에 대해 토론,4
대화체,상황,미술관에서 파는 작품을 구매하려는 상황,8
대화체,상황,미술관에서 대화,8
대화체,상황,미술관에서 작품을 보며 감상평을 주고받는 상황,4
대화체,상황,박물관에서 아들이 엄마에게 질문하는 상황,4
대화체,상황,박물관에서 대화,8
대화체,상황,박물관에서 직원이 손님에게 주의 주는 상황,4
대화체,상황,박물관에서 선생님이 학생에게 질문하는 상황,4
대화체,상황,박물관에서 직원과 대화,4
대화체,상황,공연장 관람 전 휴대폰을 찾는 상황,4
대화체,상황,공연장 관람 후 감상평,8
대화체,상황,공연장 관람 후 일어났던 상황의 대화,4
대화체,상황,공연장 관람 후 공연에서 일어났던 상황의 대화,8
대화체,상황,공연장 관람 전 표 검사에 관한 대화,4
대화체,상황,공연장 관람 전 공연에 관한 대화,12
대화체,상황,극장에서 영화 보기 전의 대화,8
대화체,상황,극장에서 영화 본 후 불편한 점 토로,8
대화체,상황,극장에서 영화 본 후의 감상평,4
대화체,상황,지인과 같이 장소 찾기,12
대화체,상황,핸드폰을 주운 사람의 현재 위치를 묻는 상황,4
대화체,상황,지인에게 장소를 물어보는 상황,4
대화체,상황,지나가는 행인에게 현재위치를 물어보는 상황,4
대화체,상황,지나가는 행인에게 장소 물어보는 상황,16
대화체,상황,현재 위치 공유,8
대화체,상황,현재 위치를 묻는 상황,4
대화체,상황,목적지까지의 소요 시간,36
대화체,상황,학교까지 가는 방법을 알려주는 상황,4
대화체,상황,친구에게 목적지로 가는 방법을 물어보는 상황,8
대화체,상황,직원에게 목적지로 가는 방법을 물어보는 상황,8
대화체,상황,택시 찾기,8
대화체,상황,택시 탑승 전 택시 기사님과 대화,8
대화체,상황,택시 승차 후 기사님에게 따지는 상황,8
대화체,상황,택시 승차 후 택시 기본요금에 대해 대화,4
대화체,상황,택시 하차 전 택시 기사님과 대화,8
대화체,상황,택시기사님과 대화,4
대화체,상황,택시 요금 지불,8
대화체,상황,택시 요금 지불 전 택시기사님과 실랑이하는 상황,4
대화체,상황,택시 예약,4
대화체,상황,버스 기사님께 목적지까지 소요 시간을 질문하는 상황,4
대화체,상황,버스 기사님께 지불해야하는 요금을 질문하는 상황,4
대화체,상황,버스 기사님께 막차시간을 질문하는 상황,4
대화체,상황,요금 지불을 위해 돈을 서로 바꾸려는 상황,4
대화체,상황,버스 기사님께 질문하는 상황,4
대화체,상황,시외버스 요금 결제 장소(매표소),8
대화체,상황,버스정류장 찾기,4
대화체,상황,매표소 카드 전용 결제기로 표를 구매하려는 상황,4
대화체,상황,시외버스에서 기사님께 질문하는 상황,4
대화체,상황,버스 환승에 대한 설명,8
대화체,상황,버스 하차 시 카드 찍기 여부,4
대화체,상황,시외버스 출발시간 질문,4
대화체,상황,지나가던 행인이 지하철 표를 대신 뽑아주는 상황,4
대화체,상황,친구와 지하철역사내에 놓여진 기계에 대해 묻는 상황,4
대화체,상황,지하철 교통카드 충전기로 교통카드 충전,4
대화체,상황,지하철 밖으로 나오려는데 나가지를 못하는 상황,4
대화체,상황,지하철 요금에 대해 얘기하는 상황,4
대화체,상황,어린이를 몰래 지하철에 탑승하려고 했다가 들키는 상황,4
대화체,상황,지하철 출구 찾기,8
대화체,상황,지하철을 잘못 탄 상황,4
대화체,상황,지하철 문이 닫히는데 위험하게 들어온 상황,4
대화체,상황,지하철 노선에 관한 질문,4
대화체,상황,지하철 환승에 관한 질문,4
대화체,상황,지하철 내 불법 판매상에 관한 대화,4
대화체,상황,지하철 노약자석으로 인한 실랑이를 벌이는 상황,4
대화체,상황,지하철 분실물 센터에서의 대화,4
대화체,상황,매표소에서 기차 운행여부를 묻는 상황,4
대화체,상황,기차가 갑자기 멈춰서 손님이 역무원에게 묻는 상황,4
대화체,상황,휴대폰으로 예약한 기차표를 찾는 상황,4
대화체,상황,자신이 타야하는 기차를 역무원이 알려주는 상황,4
대화체,상황,기차 안에서 물건 구매,4
대화체,상황,기차 안에서 손님 간의 작은 마찰이 일어난 상황,4
대화체,상황,기차 좌석을 잘못 앉은 상황,4
대화체,상황,기차 안에서 한 손님이 억지를 부리는 상황,4
대화체,상황,침대 기차 안에서 친구와 대화하는 상황,4
